,brain region,measurement,standard deviation,measurement type,measurement unit,cell type,source title,comment,specimen age
0,Basic cell groups and regions,5915.8464946178,533.3302278386,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1,Cerebrum,2432.2792769563,213.265237327,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
2,Cerebral cortex,2876.9610845218,237.092527162,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
3,Cortical plate,2966.5646911328,243.6596013589,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
4,Isocortex,4248.8678047126,334.487678287,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
5,"Frontal pole, cerebral cortex",895.8372603257,132.0538164197,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
6,"Frontal pole, layer 1",557.4256489925,137.2342679168,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
7,"Frontal pole, layer 2/3",2585.2123484489,209.3583457384,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
8,Somatomotor areas,3845.3277814811,314.6762999086,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
9,Primary motor area,3969.9070195791,332.2446422532,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
10,"Primary motor area, Layer 1",123.8954019544,43.8692772035,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
11,"Primary motor area, Layer 2/3",3992.0631956046,350.5744912992,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
12,"Primary motor area, Layer 5",6270.169739826,488.0011997654,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
13,Secondary motor area,3680.3675865901,299.6128094268,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
14,"Secondary motor area, layer 1",240.4674426168,48.9231521337,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
15,"Secondary motor area, layer 2/3",3731.7109770615,327.6904242473,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
16,"Secondary motor area, layer 5",5811.5224162392,450.0165614015,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
17,Somatosensory areas,5392.4984336468,436.7779278291,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
18,Primary somatosensory area,5517.7739614537,454.816735871,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
19,"Primary somatosensory area, layer 1",83.5872936856,35.8786126179,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
20,"Primary somatosensory area, layer 2/3",3511.2785872693,368.9598545699,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
21,"Primary somatosensory area, layer 4",7524.0974721505,621.8542704734,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
22,"Primary somatosensory area, layer 5",7406.1171308319,522.0125143959,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
23,"Primary somatosensory area, nose",6026.5492051764,492.721745066,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
24,"Primary somatosensory area, nose, layer 1",267.1213845958,80.6629349841,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
25,"Primary somatosensory area, nose, layer 2/3",4901.5485963361,499.8206638732,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
26,"Primary somatosensory area, nose, layer 4",12144.5365694192,1080.4384869157,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
27,"Primary somatosensory area, nose, layer 5",10022.4064128555,735.9702804182,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
28,"Primary somatosensory area, barrel field",5827.0660445649,442.7786469527,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
29,"Primary somatosensory area, barrel field, layer 1",201.6366519557,46.9842388815,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
30,"Primary somatosensory area, barrel field, layer 2/3",4010.0886730357,328.5815726515,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
31,"Primary somatosensory area, barrel field, layer 4",10802.3817477052,824.9363443683,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
32,"Primary somatosensory area, barrel field, layer 5",10599.9031798701,734.9338413788,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
33,"Primary somatosensory area, lower limb",5226.8950799464,520.7934781054,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
34,"Primary somatosensory area, lower limb, layer 1",187.7554845909,88.2955211311,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
35,"Primary somatosensory area, lower limb, layer 2/3",3868.9541273374,401.8540033096,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
36,"Primary somatosensory area, lower limb, layer 4",9656.6425057079,990.1099575697,cell density,number of cells per mm^3,PV+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
